age,job,marital,education,balance,housing,loan,day,month,campaign,pdays,previous,poutcome,result
58,admini_management,married,tertiary,2143,yes,no,5,5,1,-1,0,unknown,no
44,blue-collar,single,secondary,29,yes,no,5,5,1,-1,0,unknown,no
33,self-employed,married,secondary,2,yes,yes,5,5,1,-1,0,unknown,no
35,admini_management,married,tertiary,231,yes,no,5,5,1,-1,0,unknown,no
28,admini_management,single,tertiary,447,yes,yes,5,5,1,-1,0,unknown,no
42,self-employed,single,tertiary,2,yes,no,5,5,1,-1,0,unknown,no
58,no_active_income,married,primary,121,yes,no,5,5,1,-1,0,unknown,no
43,blue-collar,single,secondary,593,yes,no,5,5,1,-1,0,unknown,no
41,admini_management,single,secondary,270,yes,no,5,5,1,-1,0,unknown,no
29,admini_management,single,secondary,390,yes,no,5,5,1,-1,0,unknown,no
53,blue-collar,married,secondary,6,yes,no,5,5,1,-1,0,unknown,no
57,services,married,secondary,162,yes,no,5,5,1,-1,0,unknown,no
51,no_active_income,married,primary,229,yes,no,5,5,1,-1,0,unknown,no
57,blue-collar,married,primary,52,yes,no,5,5,1,-1,0,unknown,no
60,no_active_income,married,primary,60,yes,no,5,5,1,-1,0,unknown,no
33,services,married,secondary,0,yes,no,5,5,1,-1,0,unknown,no
28,blue-collar,married,secondary,723,yes,yes,5,5,1,-1,0,unknown,no
56,admini_management,married,tertiary,779,yes,no,5,5,1,-1,0,unknown,no
32,blue-collar,single,primary,23,yes,yes,5,5,1,-1,0,unknown,no
25,services,married,secondary,50,yes,no,5,5,1,-1,0,unknown,no
40,no_active_income,married,primary,0,yes,yes,5,5,1,-1,0,unknown,no
44,admini_management,married,secondary,-372,yes,no,5,5,1,-1,0,unknown,no
39,admini_management,single,tertiary,255,yes,no,5,5,1,-1,0,unknown,no
52,self-employed,married,secondary,113,yes,yes,5,5,1,-1,0,unknown,no
46,admini_management,single,secondary,-246,yes,no,5,5,2,-1,0,unknown,no
36,blue-collar,single,secondary,265,yes,yes,5,5,1,-1,0,unknown,no
57,blue-collar,married,secondary,839,no,yes,5,5,1,-1,0,unknown,no
